hue,name,hex,red,green,blue,sat,light
195.1,Capri,#00bfff,0,191,255,100.0,50.0
195.1,Deep sky blue,#00bfff,0,191,255,100.0,50.0
195.2,Spiro Disco Ball,#0fc0fc,15,192,252,97.5,52.4
195.6,CG Blue,#007aa5,0,122,165,100.0,32.4
195.8,Cerulean,#007ba7,0,123,167,100.0,32.7
196.4,Pastel blue,#aec6cf,174,198,207,25.6,74.7
197.4,Sky blue,#87ceeb,135,206,235,71.4,72.5
197.4,Sea blue,#006994,0,105,148,100.0,29.0
198.6,Rich electric blue,#0892d0,8,146,208,92.6,42.4
199.0,Moonstone blue,#73a9c2,115,169,194,39.3,60.6
199.2,Baby blue,#89cff0,137,207,240,77.4,73.9
199.4,Cadet,#536872,83,104,114,15.7,38.6
200.4,Columbia blue,#9bddff,155,221,255,100.0,80.4
200.7,Light cornflower blue,#93ccea,147,204,234,67.4,74.7
201.5,Cornflower,#9aceeb,154,206,235,66.9,76.3
202.4,Ocean Boat Blue,#0077be,0,119,190,100.0,37.3
202.5,Medium Persian blue,#0067a5,0,103,165,100.0,32.4
203.0,Light sky blue,#87cefa,135,206,250,92.0,75.5
203.4,French blue,#0072bb,0,114,187,100.0,36.7
204.0,Charcoal,#36454f,54,69,79,18.8,26.1
204.0,Air Force blue,#5d8aa8,93,138,168,30.1,51.2
204.0,Rackley,#5d8aa8,93,138,168,30.1,51.2
204.6,Prussian blue,#003153,0,49,83,100.0,16.3
205.1,Maya blue,#73c2fb,115,194,251,94.4,71.8
205.2,Cadet grey,#91a3b0,145,163,176,16.4,62.9
205.3,Celestial blue,#4997d0,73,151,208,59.0,55.1
205.4,Pale cerulean,#9bc4e2,155,196,226,55.0,74.7
205.7,Beau blue,#bcd4e6,188,212,230,45.7,82.0
205.7,Pale aqua,#bcd4e6,188,212,230,45.7,82.0
205.9,Dark electric blue,#536878,83,104,120,18.2,39.8
205.9,Payne grey,#536878,83,104,120,18.2,39.8
206.7,True Blue,#0073cf,0,115,207,100.0,40.6
207.3,Steel blue,#4682b4,70,130,180,44.0,49.0
208.0,Alice blue,#f0f8ff,240,248,255,100.0,97.1
208.6,Medium electric blue,#035096,3,80,150,96.1,30.0
209.0,Dark cerulean,#08457e,8,69,126,88.1,26.3
209.3,Baby blue eyes,#a1caf1,161,202,241,74.1,78.8
209.4,Green Blue,#1164b4,17,100,180,82.7,38.6
209.6,Dodger blue,#1e90ff,30,144,255,100.0,55.9
210.0,Anti-flash white,#f2f3f4,242,243,244,8.3,95.3
